name,zipcode,inspection_date,score,address,city,state,lat,lon,facility_id,description
2 Dine 4 Fine Catering,78702,02/25/2014,93,3008 GONZALES ST,AUSTIN,78702,30.259426947000065,-97.70707990099999,2802035,Routine Inspection
2nd Street Market,78701,02/20/2014,88,200 SAN JACINTO BLVD,AUSTIN,78701,30.264001505000067,-97.74168983799996,10003368,Routine Inspection
2nd Street Market,78701,11/14/2012,85,200 SAN JACINTO BLVD,AUSTIN,78701,30.264001505000067,-97.74168983799996,10003368,Routine Inspection
2nd Street Market,78701,04/14/2015,95,200 SAN JACINTO BLVD,AUSTIN,78701,30.264001505000067,-97.74168983799996,10003368,Routine Inspection
2nd Street Market,78701,04/16/2013,94,200 SAN JACINTO BLVD,AUSTIN,78701,30.264001505000067,-97.74168983799996,10003368,Routine Inspection
2nd Street Market,78701,10/14/2014,89,200 SAN JACINTO BLVD,AUSTIN,78701,30.264001505000067,-97.74168983799996,10003368,Routine Inspection
311 Club,78701,02/05/2015,94,311 E 6TH ST,AUSTIN,78701,30.26724402600007,-97.73997754699997,2800988,Routine Inspection
311 Club,78701,05/30/2012,82,311 E 6TH ST,AUSTIN,78701,30.26724402600007,-97.73997754699997,2800988,Routine Inspection
311 Club,78701,08/08/2013,93,311 E 6TH ST,AUSTIN,78701,30.26724402600007,-97.73997754699997,2800988,Routine Inspection
311 Club,78701,01/24/2013,94,311 E 6TH ST,AUSTIN,78701,30.26724402600007,-97.73997754699997,2800988,Routine Inspection
34th Street Cafe,78705,09/19/2013,77,1005 W 34TH ST,AUSTIN,78705,30.302844925000045,-97.74510289699998,2801118,Routine Inspection
34th Street Cafe,78705,07/17/2012,97,1005 W 34TH ST,AUSTIN,78705,30.302844925000045,-97.74510289699998,2801118,Routine Inspection
34th Street Cafe,78705,02/21/2013,88,1005 W 34TH ST,AUSTIN,78705,30.302844925000045,-97.74510289699998,2801118,Routine Inspection
34th Street Cafe,78705,10/10/2014,89,1005 W 34TH ST,AUSTIN,78705,30.302844925000045,-97.74510289699998,2801118,Routine Inspection
34th Street Cafe,78705,03/24/2014,96,1005 W 34TH ST,AUSTIN,78705,30.302844925000045,-97.74510289699998,2801118,Routine Inspection
34th Street Cafe,78705,03/25/2015,97,1005 W 34TH ST,AUSTIN,78705,30.302844925000045,-97.74510289699998,2801118,Routine Inspection
34th Street Catering,78705,07/17/2012,97,1009 W 34TH ST,AUSTIN,78705,30.302975133000075,-97.74537253099999,10006930,Routine Inspection
34th Street Catering,78705,02/21/2013,100,1009 W 34TH ST,AUSTIN,78705,30.302975133000075,-97.74537253099999,10006930,Routine Inspection
34th Street Catering,78705,03/25/2015,92,1009 W 34TH ST,AUSTIN,78705,30.302975133000075,-97.74537253099999,10006930,Routine Inspection
34th Street Catering,78705,03/24/2014,96,1009 W 34TH ST,AUSTIN,78705,30.302975133000075,-97.74537253099999,10006930,Routine Inspection
34th Street Catering,78705,09/19/2013,93,1009 W 34TH ST,AUSTIN,78705,30.302975133000075,-97.74537253099999,10006930,Routine Inspection
34th Street Catering,78705,10/10/2014,79,1009 W 34TH ST,AUSTIN,78705,30.302975133000075,-97.74537253099999,10006930,Routine Inspection
"360 Pizza, LLC",78731,11/24/2014,81,6203 N CAPITAL OF TEXAS HWY NB Unit A100,AUSTIN,78731,30.360311524000053,-97.79013061299997,10833958,Routine Inspection
"360 Pizza, LLC",78704,09/19/2014,82,2107 KINNEY AVE,AUSTIN,78704,30.248244052000075,-97.77060865499999,11062654,Routine Inspection
"360 Pizza, LLC",78731,01/22/2014,97,6203 N CAPITAL OF TEXAS HWY NB Unit A100,AUSTIN,78731,30.360311524000053,-97.79013061299997,10833958,Routine Inspection
"360 Pizza, LLC",78731,04/23/2015,82,6203 N CAPITAL OF TEXAS HWY NB Unit A100,AUSTIN,78731,30.360311524000053,-97.79013061299997,10833958,Routine Inspection
"360 Pizza, LLC",78704,03/23/2015,85,2107 KINNEY AVE,AUSTIN,78704,30.248244052000075,-97.77060865499999,11062654,Routine Inspection
